id,horario,produtos,total,pago,formato,mod
0,11:46,482/6,648.5999999999999,0,cartão de crédito,0%
1,11:46,349/10-472/10-106/10-356/10-189/9-240/10-293/10,4536.75,0,dinheiro,0%
2,11:46,231/10-316/3-187/9-350/7-179/7-117/8,2810.5999999999995,0,cartão de crédito,0%
3,11:46,342/7-466/3-78/5-304/1-345/4-166/1-111/2-362/4-396/6-313/3,2707.0999999999995,0,dinheiro,0%
4,11:46,444/5-250/4-3/3-184/1-178/3-209/10-120/2-492/5-89/8,2334.4999999999995,0,cartão de débito,0%
5,11:46,77/7-377/9,1613.45,0,cartão de débito,0%
6,11:46,171/9-439/5-137/10-36/3-243/10,1361.6,0,cartão de débito,0%
7,11:46,355/10-398/2-149/8-448/9-454/9-22/7-39/5-417/10-128/8,2964.7,0,dinheiro,0%
8,11:46,19/5-457/10-299/1-310/2-442/8-14/7-379/7-467/4-166/6,2668.0,0,dinheiro,0%
9,11:48,475/9-418/9-395/5-226/5-287/10-480/1-281/10,2049.3,0,dinheiro,0%
