id,horario,produtos,total,pago,formato,mod
0,11:49,293/1-406/3-73/4-215/6-473/8-377/1-210/3-79/3-5/2,1710.0499999999997,0,cartão de débito,0%
1,11:49,370/9-133/10-291/2-169/7-165/8-68/6-410/5,3755.9,0,cartão de crédito,0%
2,11:49,321/3-14/3-323/5-185/1-48/5-62/7,1578.9499999999998,0,cartão de débito,0%
3,11:49,46/3-163/6,772.8000000000001,0,dinheiro,0%
4,11:49,450/7-104/8-60/2-320/2-108/5-285/1-439/10-179/3-216/7-76/10,4859.9,0,cartão de crédito,0%
5,11:49,165/9-499/9,1583.5500000000002,0,dinheiro,0%
6,11:49,252/7-322/1-255/2-478/9,739.4499999999999,0,dinheiro,0%
7,11:49,20/10-5/5-170/7-389/7-179/9-359/3-488/9,3714.5,0,cartão de crédito,0%
8,11:49,183/6-251/9-235/5-42/9-222/2-304/10-463/9-318/7-333/6,2818.65,0,dinheiro,0%
9,11:49,30/5-48/6,770.5,0,cartão de débito,0%
10,11:49,121/8-400/10-300/7-200/5-118/10-25/2-33/9,2830.518,0,cartão de débito,-14%
11,11:49,213/5-199/8-4/4-160/2-251/10,419.6005,0,cartão de crédito,7%
12,11:49,214/7-50/3-4/10-417/7-200/7,2159.7,0,cartão de crédito,0%
13,11:49,309/4-445/9-329/4-394/7-10/5-2/8-61/9-456/1-77/5-259/8,3997.3999999999996,0,dinheiro,0%
14,11:49,58/1-484/8-374/3-106/4-397/2-116/10-117/2,1792.8500000000001,0,dinheiro,0%
15,11:49,58/9-231/6-76/9-157/8-3/4-180/10,2960.1,0,cartão de crédito,0%
16,11:49,186/1-223/3-309/3-37/10-173/10-226/8-460/5-123/10,2918.6079999999997,0,dinheiro,-12%
17,11:49,379/9,165.6,0,cartão de débito,0%
18,11:49,170/10,1138.5,0,dinheiro,0%
19,11:49,165/7-158/10-416/1,1612.3,0,cartão de crédito,0%
20,11:49,159/1-388/2-138/8-479/4-418/10-14/8-247/3-222/5-198/5,2035.0400000000002,0,cartão de débito,-20%
21,11:49,77/9-161/7-25/4-201/4-297/6,1622.65,0,dinheiro,0%
22,11:49,287/5-159/5-366/4-261/10-47/5-240/10,1994.1,0,dinheiro,0%
23,11:49,349/4-497/2-109/1-31/2-188/10-405/7-241/9-485/1-323/10-143/9,3210.938,0,cartão de débito,-17%
24,11:49,140/9,776.25,0,cartão de débito,0%
25,11:49,29/3-308/2-155/9-330/5-219/10-399/2-411/1-275/7-212/3,3000.35,0,dinheiro,0%
26,11:49,353/1,64.39999999999999,0,cartão de débito,0%
