id,horario,produtos,total,pago,formato,mod
0,11:49,53/3-6/3-85/3-144/5-131/5-331/2-188/4-110/10-135/7,1258.1,0,cartão de débito,0%
1,11:49,256/8-286/3-306/2-189/3,1158.05,0,dinheiro,0%
2,11:49,267/6-351/9-416/8-128/7-440/3-107/9,2766.899999999999,0,cartão de crédito,0%
3,11:49,178/3-13/8-195/9-10/8-110/5-252/10-402/10-282/10-122/9-117/8-60/5,3899.6499999999996,0,cartão de crédito,0%
4,11:49,198/4-381/3-30/10-193/5-131/3-302/6-141/4-225/10-16/8-263/2,2929.05,0,cartão de débito,0%
5,11:49,34/7-331/2-476/2-91/10,1159.2,0,dinheiro,0%
6,11:49,143/10-192/8-407/10-160/3-314/1-386/2-209/1-21/5-486/4-370/8,2745.0499999999997,0,cartão de crédito,0%
7,11:49,39/5-306/3-322/1-228/5-483/2,468.05,0,cartão de débito,0%
8,11:49,124/9-209/2-493/5-334/6-393/7-22/5-109/1,1383.45,0,dinheiro,0%
9,11:49,90/7,780.85,0,cartão de crédito,0%
10,11:49,32/3-209/5,273.7,0,dinheiro,0%
11,11:49,448/1-63/3-87/2-330/5-255/8-56/4-99/1-30/6-119/9,1589.3,0,dinheiro,0%
12,11:49,404/9-61/10-166/4-406/3-365/6-328/7-337/10-210/9,2363.71,0,dinheiro,-14%
13,11:49,45/2-30/9-219/5-157/4,1661.75,0,dinheiro,0%
14,11:49,248/4-163/9-177/6-309/3-366/1-372/6-481/10-404/4,2551.8499999999995,0,cartão de crédito,0%
